Index,Date,Open,High,Low,Close,Adj Close,Volume,CloseUSD
HSI,2021-05-26,29056.2793,29261.85938,29027.94922,29166.00977,29166.00977,2518538400.0,3791.5812701
HSI,2021-05-27,28998.39063,29157.94922,28950.7207,29113.19922,29113.19922,3804955000.0,3784.7158986
HSI,2021-05-28,29219.46094,29336.13086,29033.7207,29124.41016,29124.41016,2591559500.0,3786.1733208
HSI,2021-05-31,29225.46094,29225.46094,28909.51953,29151.80078,29151.80078,2188580800.0,3789.7341014
NYA,2021-03-19,15589.07031,15636.12012,15454.11035,15562.25977,15562.25977,7725050000.0,15562.25977
NYA,2021-03-22,15562.25977,15595.59961,15496.55957,15551.55957,15551.55957,4311380000.0,15551.55957
NYA,2021-03-23,15551.58008,15551.58008,15306.07031,15346.53027,15346.53027,4645340000.0,15346.53027
NYA,2021-03-24,15346.53027,15479.84961,15276.55957,15276.55957,15276.55957,4766990000.0,15276.55957
NYA,2021-03-25,15276.55957,15439.08984,15138.69043,15410.37012,15410.37012,4940800000.0,15410.37012
NYA,2021-03-26,15410.37012,15687.17969,15410.37012,15682.54004,15682.54004,5467850000.0,15682.54004
NYA,2021-03-29,15682.54004,15682.54004,15522.66016,15611.87988,15611.87988,4619840000.0,15611.87988
NYA,2021-03-30,15611.87988,15663.00977,15551.53027,15626.11035,15626.11035,4103570000.0,15626.11035
NYA,2021-03-31,15626.11035,15681.91016,15601.74023,15601.74023,15601.74023,4564980000.0,15601.74023
NYA,2021-04-01,15601.74023,15752.33008,15601.74023,15751.7002,15751.7002,4151240000.0,15751.7002
NYA,2021-04-05,15752.24023,15882.09961,15752.24023,15870.33984,15870.33984,3999760000.0,15870.33984
NYA,2021-04-06,15870.33984,15920.28027,15842.25,15877.95996,15877.95996,4027880000.0,15877.95996
NYA,2021-04-07,15877.95996,15905.25,15804.4502,15838.84961,15838.84961,4112640000.0,15838.84961
NYA,2021-04-08,15838.84961,15894.79981,15812.37012,15886.55957,15886.55957,3901910000.0,15886.55957
NYA,2021-04-09,15886.55957,15956.37988,15865.59961,15956.37012,15956.37012,3634910000.0,15956.37012
NYA,2021-04-12,15956.37012,15986.36035,15933.73047,15977.45996,15977.45996,3578500000.0,15977.45996
NYA,2021-04-13,15977.45996,15989.79981,15902.16016,15962.33984,15962.33984,3728440000.0,15962.33984
NYA,2021-04-14,15962.33984,16076.25977,15962.33984,16000.15039,16000.15039,3976540000.0,16000.15039
NYA,2021-04-15,16000.15039,16123.46973,16000.15039,16116.84961,16116.84961,4027680000.0,16116.84961
NYA,2021-04-16,16116.84961,16207.09961,16116.84961,16186.29004,16186.29004,4157430000.0,16186.29004
NYA,2021-04-19,16186.29004,16186.29004,16076.57031,16107.55957,16107.55957,3788020000.0,16107.55957
NYA,2021-04-20,16107.55957,16107.55957,15887.38965,15944.61035,15944.61035,4338230000.0,15944.61035
NYA,2021-04-21,15944.61035,16128.90039,15903.45996,16121.61035,16121.61035,3865820000.0,16121.61035
NYA,2021-04-22,16121.61035,16175.2002,15991.83984,16030.62012,16030.62012,4235040000.0,16030.62012
NYA,2021-04-23,16030.62012,16246.37012,16030.62012,16206.0,16206.0,3568080000.0,16206.0
NYA,2021-04-26,16206.0,16278.09961,16206.0,16241.20996,16241.20996,3738920000.0,16241.20996
NYA,2021-04-27,16241.20996,16287.62012,16212.75,16273.30957,16273.30957,3703240000.0,16273.30957
NYA,2021-04-28,16273.30957,16362.59961,16273.30957,16322.12988,16322.12988,3772390000.0,16322.12988
NYA,2021-04-29,16322.12988,16413.2793,16263.04004,16376.0,16376.0,4288940000.0,16376.0
NYA,2021-04-30,16376.0,16376.0,16199.48047,16219.33008,16219.33008,4273680000.0,16219.33008
NYA,2021-05-03,16219.33008,16375.07031,16219.33008,16325.24023,16325.24023,4061170000.0,16325.24023
NYA,2021-05-04,16325.24023,16325.24023,16156.99023,16289.26953,16289.26953,4441080000.0,16289.26953
NYA,2021-05-05,16289.26953,16394.61914,16284.74023,16348.41016,16348.41016,4029050000.0,16348.41016
NYA,2021-05-06,16348.41016,16462.43945,16275.16016,16459.59961,16459.59961,4504860000.0,16459.59961
NYA,2021-05-07,16459.59961,16598.01953,16439.03906,16590.42969,16590.42969,4013060000.0,16590.42969
NYA,2021-05-10,16590.42969,16685.89063,16516.80078,16516.83008,16516.83008,3678970000.0,16516.83008
NYA,2021-05-11,16516.83008,16516.83008,16211.54004,16355.62012,16355.62012,3593110000.0,16355.62012
NYA,2021-05-12,16355.62012,16355.62012,16030.29981,16042.96973,16042.96973,3735080000.0,16042.96973
NYA,2021-05-13,16042.96973,16243.26953,16035.49023,16181.62988,16181.62988,3687780000.0,16181.62988
NYA,2021-05-14,16181.62988,16438.90039,16181.62988,16415.35938,16415.35938,3251920000.0,16415.35938
NYA,2021-05-17,16415.35938,16434.25,16341.17969,16422.96094,16422.96094,3307130000.0,16422.96094
NYA,2021-05-18,16422.96094,16458.23047,16337.29004,16337.73047,16337.73047,3559790000.0,16337.73047
NYA,2021-05-19,16337.73047,16337.73047,16040.42969,16233.32031,16233.32031,3485550000.0,16233.32031
NYA,2021-05-20,16233.32031,16398.76953,16233.29981,16350.4502,16350.4502,3019060000.0,16350.4502
NYA,2021-05-21,16350.4502,16475.0,16344.75977,16375.0,16375.0,3344620000.0,16375.0
NYA,2021-05-24,16375.0,16508.51953,16375.0,16464.68945,16464.68945,2947400000.0,16464.68945
NYA,2021-05-25,16464.68945,16525.81055,16375.15039,16390.18945,16390.18945,3420870000.0,16390.18945
NYA,2021-05-26,16390.18945,16466.33984,16388.32031,16451.96094,16451.96094,3674490000.0,16451.96094
NYA,2021-05-27,16451.96094,16546.35938,16451.96094,16531.94922,16531.94922,5201110000.0,16531.94922
NYA,2021-05-28,16531.94922,16588.68945,16531.94922,16555.66016,16555.66016,4199270000.0,16555.66016
IXIC,2021-03-19,13119.90039,13252.37012,13039.4502,13215.24023,13215.24023,7591530000.0,13215.24023
